"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"JP3","JMP","750mil","1143.307mil","800mil","1143.307mil","800mil","1143.307mil","T","180.00","JMP"
"JP2","JMP","925mil","1868.307mil","925mil","1918.307mil","925mil","1918.307mil","T","270.00","JMP"
"TP1","TP","2250mil","1043.307mil","2250mil","1043.307mil","2250mil","1043.307mil","T","0.00","GND"
"R24","R0603","1425mil","1225.807mil","1425mil","1193.307mil","1425mil","1193.307mil","T","90.00","0R"
"R23","R0805","1480mil","783.307mil","1480mil","743.307mil","1480mil","743.307mil","T","90.00","2R4"
"R22","R0805","1220mil","783.307mil","1220mil","823.307mil","1220mil","823.307mil","T","270.00","2R4"
"R21","R0805","1750mil","650.807mil","1790mil","650.807mil","1790mil","650.807mil","T","180.00","51R"
"VP","TP","2955mil","1443.307mil","2955mil","1443.307mil","2955mil","1443.307mil","T","0.00","TEST-POINT"
"VDD","TP","1100mil","1818.307mil","1100mil","1818.307mil","1100mil","1818.307mil","T","0.00","TEST-POINT"
"VREF","TP","2070mil","1153.307mil","2070mil","1153.307mil","2070mil","1153.307mil","T","0.00","TEST-POINT"
"R9","R0805","1465mil","2463.307mil","1465mil","2423.307mil","1465mil","2423.307mil","T","90.00","510R"
"R8","R0805","1305mil","783.307mil","1305mil","823.307mil","1305mil","823.307mil","T","270.00","1K"
"R6","R0805","1120mil","2463.307mil","1120mil","2503.307mil","1120mil","2503.307mil","T","270.00","510R"
"JP8","JMP","1375mil","2643.307mil","1425mil","2643.307mil","1425mil","2643.307mil","T","180.00","JMP"
"J-IL","TE-1776119-2","1750mil","418.307mil","1650mil","418.307mil","1650mil","418.307mil","T","0.00",""
"TP3","TP","250mil","2543.307mil","250mil","2543.307mil","250mil","2543.307mil","T","0.00","GND"
"TP4","TP","2250mil","2543.307mil","2250mil","2543.307mil","2250mil","2543.307mil","T","0.00","GND"
"TP2","TP","250mil","1043.307mil","250mil","1043.307mil","250mil","1043.307mil","T","0.00","GND"
"R3","R0805","1795mil","783.307mil","1795mil","823.307mil","1795mil","823.307mil","T","270.00","100R"
"3.3V","TP","2050mil","2793.307mil","2050mil","2793.307mil","2050mil","2793.307mil","T","0.00","TEST-POINT"
"VCC","TP","2550mil","2573.307mil","2550mil","2573.307mil","2550mil","2573.307mil","T","0.00","TEST-POINT"
"J6","HDR1X2(UPER)","1350mil","1043.307mil","1300mil","1043.307mil","1300mil","1043.307mil","T","0.00","CON-2"
"J5","HDR1X4","1250mil","3343.307mil","1100mil","3343.307mil","1100mil","3343.307mil","T","0.00","HDR1X4"
"X1","XTAL-MIX-49","1566.575mil","1858.307mil","1468.149mil","1858.307mil","1399.252mil","1858.307mil","T","360.00","8.192MHz"
"U5","PS2501L-1","1375mil","2993.307mil","1325mil","2818.307mil","1325mil","2818.307mil","T","90.00","PS2501"
"U4","PS2501L-1","1125mil","2993.307mil","1075mil","2818.307mil","1075mil","2818.307mil","T","90.00","PS2501"
"U3","SSOP-28","1673.339mil","1448.307mil","1507mil","1298.307mil","1507mil","1298.307mil","T","90.00","ATM90E25"
"U2","SOT-89","2204.055mil","3107.933mil","2145mil","3053.307mil","2145mil","3053.307mil","T","360.00","78L33"
"U1","TMLM04112","3879.136mil","2606.693mil","4450mil","2193.307mil","4450mil","2193.307mil","T","180.00","TMLM04109"
"RV1","VDRS10P510BSE","4160mil","3243.307mil","4160mil","3243.307mil","4020mil","3280.807mil","T","270.00","RES-V"
"RC2","R0805","1880mil","783.307mil","1880mil","743.307mil","1880mil","743.307mil","T","90.00","2R4"
"RC1","R0805","1620mil","783.307mil","1620mil","823.307mil","1620mil","823.307mil","T","270.00","2R4"
"R20","R0805","2030mil","1638.307mil","2030mil","1678.307mil","2030mil","1678.307mil","T","270.00","1K"
"R19","R0805","2200mil","1588.307mil","2200mil","1628.307mil","2200mil","1628.307mil","T","270.00","1K"
"R18","R1206","3157.5mil","1233.307mil","3090mil","1233.307mil","3090mil","1233.307mil","T","360.00","120K"
"R17","R1206","3292.5mil","1343.307mil","3360mil","1343.307mil","3360mil","1343.307mil","T","180.00","120K"
"R16","R1206","3427.5mil","1233.307mil","3360mil","1233.307mil","3360mil","1233.307mil","T","360.00","120K"
"R15","R1206","3562.5mil","1343.307mil","3630mil","1343.307mil","3630mil","1343.307mil","T","180.00","120K"
"R14","R1206","3697.5mil","1233.307mil","3630mil","1233.307mil","3630mil","1233.307mil","T","360.00","120K"
"R13","R1206","3832.5mil","1343.307mil","3900mil","1343.307mil","3900mil","1343.307mil","T","180.00","120K"
"R12","R1206","3022.5mil","1343.307mil","3090mil","1343.307mil","3090mil","1343.307mil","T","180.00","120K"
"R11","R0805","1395mil","783.307mil","1395mil","823.307mil","1395mil","823.307mil","T","270.00","1K"
"R10","R0805","1380mil","2463.307mil","1380mil","2503.307mil","1380mil","2503.307mil","T","270.00","510R"
"R5","R0805","1205mil","2463.307mil","1205mil","2423.307mil","1205mil","2423.307mil","T","90.00","510R"
"R4","R0603","1270mil","1230.807mil","1270mil","1198.307mil","1270mil","1198.307mil","T","90.00","10K"
"R2","R0805","1705mil","783.307mil","1705mil","823.307mil","1705mil","823.307mil","T","270.00","100R"
"R1","R0805","2005mil","3053.307mil","1965mil","3053.307mil","1965mil","3053.307mil","T","0.00","510R"
"PW1","POWERJACKET2.5","2771.575mil","3115.984mil","2870mil","2993.937mil","2870mil","2993.937mil","T","180.00","PowerJack"
"JP7","JMP","750mil","993.307mil","700mil","993.307mil","700mil","993.307mil","T","360.00","JMP"
"JP6","JMP","1125mil","2643.307mil","1175mil","2643.307mil","1175mil","2643.307mil","T","180.00","JMP"
"JP5","JMP3","1150mil","1443.307mil","1150mil","1543.307mil","1150mil","1543.307mil","T","270.00","JMP3"
"JP4","JMP3","1000mil","1443.307mil","1000mil","1543.307mil","1000mil","1543.307mil","T","270.00","JMP3"
"JP1","JMP-SMD","4250mil","2623.307mil","4250mil","2588.307mil","4250mil","2588.307mil","B","90.00","JMP"
"J-U","TE-282843-2","4250mil","1543.307mil","4250mil","1343.307mil","4250mil","1343.307mil","T","90.00",""
"J-IN","TE-1776119-2","1350mil","418.307mil","1250mil","418.307mil","1250mil","418.307mil","T","0.00",""
"J4","HDR1X2(UPER)","1750mil","1043.307mil","1700mil","1043.307mil","1700mil","1043.307mil","T","360.00","CON-2"
"J3","HDR1X2","2375mil","3393.307mil","2325mil","3393.307mil","2325mil","3393.307mil","T","360.00","HDR1X2"
"J2","HDR2X10","350mil","1771.654mil","300mil","2221.654mil","300mil","2221.654mil","T","270.00","HDR2X10"
"D5","LED-0805R","1295mil","2463.307mil","1295mil","2463.307mil","1295mil","2503.307mil","T","270.00","Red"
"D4","LED-0805R","1035mil","2463.307mil","1035mil","2463.307mil","1035mil","2503.307mil","T","270.00","Red"
"D3","LED-0805Y","2005mil","3138.307mil","2005mil","3138.307mil","1965mil","3138.307mil","T","360.00","Yellow"
"D2","SMA_DO-214AC","2635mil","2848.307mil","2720mil","2848.307mil","2720mil","2848.307mil","T","180.00","1N4007"
"D1","SMA_DO-214AC","2635mil","2708.307mil","2720mil","2708.307mil","2720mil","2708.307mil","T","180.00","1N4007"
"C21","C0805","1945mil","1638.307mil","1945mil","1678.307mil","1945mil","1678.307mil","T","270.00","33nF"
"C20","C0805","2115mil","1588.307mil","2115mil","1628.307mil","2115mil","1628.307mil","T","270.00","33nF"
"C18","C0603","1900mil","1185.807mil","1900mil","1218.307mil","1900mil","1218.307mil","T","270.00","0.1uF"
"C17","C0805","1975mil","1188.307mil","1975mil","1228.307mil","1975mil","1228.307mil","T","270.00","4.7uF"
"C16","C0805","1437.5mil","903.307mil","1397.5mil","903.307mil","1397.5mil","903.307mil","T","360.00","33nF"
