Manufacturer Part Number	Digi-Key Part Number	Description	Manufacturer	Packaging	PnP Feeder	Unit Price
ATM90E36A-AU-Y	ATM90E36A-AU-Y-ND	"48-TQFP, IND TEMP, 1.8V/3V, TRAY"	Atmel	Tape & Reel (TR)	16mm x 4mm	2.87
6162.0162	486-4887-ND	6010 APPLIANCE INLET 10A 70C - V		Bulk	Hand	2.09
TMLM 20112	1951-1159-ND	AC/DC CONVERTER 12V 20W	Traco Power	Bulk	Hand	42.532
TMLM 04103	1951-1156-ND	AC/DC CONVERTER 3.3V 4W	Traco Power	Bulk	Hand	16.54
TMLM 20105	1951-1158-ND	AC/DC CONVERTER 5V 18W	Traco Power	Bulk	Hand	47.5
TMLM 04253	1951-3160-ND	AC/DC CONVERTER 5V 3.3V 3.5W	Traco Power	Bulk	Hand	16.464
RPS-30-5	1866-4042-ND	AC/DC CONVERTER 5V 30W	Traco Power	Bulk	Hand	14.38
TMLM 04109	1951-1157-ND	AC/DC CONVERTER 9V 4W	Traco Power	Bulk	Hand	16.065
0151660223	WM11363-ND	"CABLE FFC 20POS 0.50MM 10"""				2.443
0151670373	WM25103-ND	"CABLE FFC 20POS 1.00MM 10"""				2.485
XH311HU-IV07E	728-1086-1-ND	CAP 35MF 3.3V SURFACE MNT				1.0125
EEE-1VA221UP	PCE3955CT-ND	CAP ALUM 220UF 20% 35V SMD				0.394
EEE-1HA470XP	PCE3929CT-ND	CAP ALUM 47UF 20% 50V SMD				0.171
EEE-1HA470XP	PCE3929TR-ND	CAP ALUM 47UF 20% 50V SMD				0.114
CC0402KRX7R8BB183	311-3345-2-ND	CAP CER 0.018UF 25V X7R 0402		Tape & Reel (TR)	8mm x 2mm	0.00873
08055C183KAT2A	478-1386-6-ND	CAP CER 0.018UF 50V X7R 0805		Tape & Reel (TR)	8mm x 2mm	0.0576
CC0402ZRY5V7BB333	311-1044-2-ND	CAP CER 0.033UF 16V Y5V 0402		Tape & Reel (TR)	8mm x 2mm	0.00483
C0805C333K5RACTU	399-1165-2-ND	CAP CER 0.033UF 50V X7R 0805		Tape & Reel (TR)	8mm x 2mm	0.01872
CL05F104ZO5NNNC	1276-1004-2-ND	CAP CER 0.1UF 16V Y5V 0402	Samsung Electro-Mechanics	Tape & Reel (TR)	8mm x 2mm	
GRM155C81E104KA12D	490-14364-1-ND	CAP CER 0.1UF 25V X6S 0402		Tape & Reel (TR)	8mm x 2mm	0.00756
08055C104KAT2A	478-1395-2-ND	CAP CER 0.1UF 50V X7R 0805		Tape & Reel (TR)	8mm x 4mm	0.01397
CL05A334KP5NNNC	1276-6665-1-ND	CAP CER 0.33UF 10V X5R 0402		Tape & Reel (TR)	8mm x 2mm	0.02291
CC0805ZRY5V8BB474	311-4358-2-ND	CAP CER 0.47UF 25V Y5V 0805		Tape & Reel (TR)	8mm x 4mm	0.03456
QMK212BJ103KG-T	587-5177-2-ND	CAP CER 10000PF 250V X5R 0805		Tape & Reel (TR)	8mm x 4mm	0.0455
CL21B103KAANNNC	1276-2434-2-ND	CAP CER 10000PF 25V X7R 0805		Tape & Reel (TR)	8mm x 4mm	0.00974
CC0805KRX7R9BB103	311-1136-2-ND	CAP CER 10000PF 50V X7R 0805		Tape & Reel (TR)	8mm x 4mm	0.01407
0805Y1K00102KST	1608-1316-6-ND	CAP CER 1000PF 1KV X7R 0805		Tape & Reel (TR)	8mm x 4mm	0.20144
C0805C102K5RACTU	399-1147-2-ND	CAP CER 1000PF 50V X7R 0805		Tape & Reel (TR)	8mm x 4mm	0.02033
